trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
247,False,"{'a': 0.5, 'e': 0.09277620459766088}",20,10,17.579853708572323,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
248,False,"{'a': 0.5, 'e': 0.39593899065726024}",25,5,3.55608613897002,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
249,False,"{'a': 0.5, 'e': 0.7877145121442345}",20,0,-101.58682360689994,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
250,False,"{'a': 0.5, 'e': 0.9866300485542645}",25,0,-160.7593896667768,"{0: 13, 1: 3, 2: 6, 3: 1, 4: 2}",0
251,False,"{'a': 0.5, 'e': 0.9439841391523142}",25,0,-150.82651535544233,"{0: 15, 1: 3, 2: 3, 3: 2, 4: 2}",0
252,False,"{'a': 0.5, 'e': 0.6702179898880674}",25,0,-76.62342120470952,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
253,False,"{'a': 0.5, 'e': 0.23235910202965793}",30,18,-12.490426633025855,"{0: 10, 1: 0, 2: 1, 3: 1, 4: 0}",1
254,False,"{'a': 0.5, 'e': 0.2623893978125999}",20,3,3.9212229750524026,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
255,False,"{'a': 0.5, 'e': 0.6928958219201651}",20,8,-34.52756224326076,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
256,False,"{'a': 0.5, 'e': 0.953757183235068}",35,21,-92.79727527336057,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 2}",1
257,False,"{'a': 0.5, 'e': 0.9811055226493881}",25,0,-96.7387920559633,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
258,False,"{'a': 0.5, 'e': 0.7682450128678183}",25,0,-77.6092322627745,"{0: 17, 1: 5, 2: 1, 3: 1, 4: 1}",0
259,False,"{'a': 0.5, 'e': 0.3672913304546965}",25,10,-0.4660988633858476,"{0: 11, 1: 4, 2: 0, 3: 0, 4: 0}",1
260,False,"{'a': 0.5, 'e': 0.12358807938670624}",20,6,19.62044265874418,"{0: 13, 1: 1, 2: 0, 3: 0, 4: 0}",1
261,False,"{'a': 0.5, 'e': 0.5842088171092893}",20,15,7.777646584636371,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
262,False,"{'a': 0.5, 'e': 0.9017948614087224}",25,2,-129.55472104754423,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 3}",1
263,False,"{'a': 0.5, 'e': 0.9985900724399912}",25,0,-103.87990453650346,"{0: 16, 1: 2, 2: 5, 3: 1, 4: 1}",0
264,False,"{'a': 0.5, 'e': 0.8508956066916382}",25,14,-66.03004128750592,"{0: 7, 1: 1, 2: 1, 3: 1, 4: 1}",1
265,False,"{'a': 0.5, 'e': 0.4948722204034305}",20,0,-91.10075326853895,"{0: 13, 1: 2, 2: 2, 3: 2, 4: 1}",0
